stop_id,nom,commune,mode,lat,lon
IDFM:monomodalStopPlace:58759,Charles de Gaulle - Étoile,Paris,RapidTransit,48.874172759565376,2.295231447641207
IDFM:monomodalStopPlace:44199,Noisiel,Noisiel,RapidTransit,48.84351408493866,2.616660606000051
IDFM:monomodalStopPlace:43239,Marne-la-Vallée - Chessy,Chessy,RapidTransit,48.86979506673141,2.7824826512673546
IDFM:monomodalStopPlace:46222,Vert-Galant,Villepinte,RapidTransit,48.944091645418105,2.5663968806983126
IDFM:monomodalStopPlace:47009,Palaiseau,Palaiseau,RapidTransit,48.71686524330362,2.24558429554376
IDFM:monomodalStopPlace:43066,Antony,Antony,RapidTransit,48.754632057173126,2.300890371505836
IDFM:monomodalStopPlace:43177,Parc de Sceaux,Antony,RapidTransit,48.769718949712896,2.309934691589042
IDFM:monomodalStopPlace:43097,Bourg-la-Reine,Bourg-la-Reine,RapidTransit,48.78026436884244,2.312278311834309
IDFM:monomodalStopPlace:45877,Gentilly,Gentilly,RapidTransit,48.815228092611335,2.340926830790754
IDFM:monomodalStopPlace:44500,Port Royal,Paris,RapidTransit,48.840064350218256,2.3371383995944486
IDFM:monomodalStopPlace:43193,Sevran - Beaudottes,Sevran,RapidTransit,48.94700236504643,2.5247262164471342
IDFM:monomodalStopPlace:47878,Parc des Expositions,Villepinte,RapidTransit,48.97356812654279,2.5145512908225953
IDFM:monomodalStopPlace:462398,Aéroport CDG 1 (Terminal 3) - RER,Tremblay-en-France,RapidTransit,49.00979397116337,2.5614121946317394
IDFM:23298,La Ferme,Bobigny,Tramway,48.909666054339084,2.4374365075390196
IDFM:22624,Bobigny - Pablo Picasso,Bobigny,Tramway,48.906558641642015,2.4499527714432054
IDFM:23306,Drancy - Avenir,Drancy,Tramway,48.917809446000085,2.417726617499685
IDFM:23436,Charlebourg,La Garenne-Colombes,Tramway,48.90760410767097,2.238466500167037
IDFM:23431,Victor Basch,Colombes,Tramway,48.91403193518481,2.229667229917251
IDFM:23444,Musée de Sèvres,Sèvres,Tramway,48.82881803031778,2.22543668443778
IDFM:23443,Les Milons,Saint-Cloud,Tramway,48.84996213744435,2.22123848408167
IDFM:22298,Puteaux,Puteaux,Tramway,48.88288548625146,2.2334552507390657
IDFM:23437,Charlebourg,La Garenne-Colombes,Tramway,48.907558278449365,2.2383307423844765
IDFM:25646,Suresnes - Longchamp,Suresnes,Tramway,48.86811217143994,2.2213761180397262
IDFM:23442,Les Milons,Saint-Cloud,Tramway,48.84994335348533,2.221116114820213
IDFM:460557,Henri Farman,Paris,Tramway,48.834665033908735,2.271398029105086
IDFM:25636,Porte d'Issy,Issy-les-Moulineaux,Tramway,48.83169217409569,2.2809892431392185
IDFM:24103,Balard,Paris,Tramway,48.835888441280396,2.2788605111327747
IDFM:28847,Stade Charléty - Porte de Gentilly,Paris,Tramway,48.81944596603347,2.345797007642135
IDFM:24124,Maryse Bastié,Paris,Tramway,48.82432922348724,2.377744762249231
IDFM:36482,Baron le Roy,Paris,Tramway,48.830336895691396,2.3934750366791087
IDFM:24134,Porte Dorée,Paris,Tramway,48.83597310359848,2.407264913210672
IDFM:40067,Montempoivre,Paris,Tramway,48.83986661994873,2.408937367696815
IDFM:24139,Alexandra David-Néel,Paris,Tramway,48.843658959618125,2.410161562816697
IDFM:460563,Porte de Vincennes,Paris,Tramway,48.846884708674125,2.409566358514211
IDFM:24125,Montempoivre,Paris,Tramway,48.83988400020971,2.408814546821016
IDFM:24117,Porte d'Italie,Paris,Tramway,48.819064255539985,2.3600205548381514
IDFM:24111,Porte de Versailles - Parc des Expositions,Paris,Tramway,48.832714950896516,2.2880864296816648
IDFM:24423,Porte de Pantin - Parc de la Villette,Paris,Tramway,48.88905763403042,2.3957504466943305
IDFM:24530,Rosa Parks,Paris,Tramway,48.89760308551223,2.373377140155362
IDFM:462415,Diane Arbus - Porte des Poissonniers,Paris,Tramway,48.89837799137393,2.3516934796371
IDFM:462437,Angélique Compoint - Porte de Montmartre,Paris,Tramway,48.897863424530414,2.3381825237286495
IDFM:490890,Porte de Champerret,Paris,Tramway,48.88597096158269,2.291994963614582
IDFM:490889,Thérèse Pierre,Paris,Tramway,48.88369263626842,2.288453177914627
IDFM:490881,Anna de Noailles,Paris,Tramway,48.87448416999379,2.2780670919239996
IDFM:490884,Anny Flore,Paris,Tramway,48.8811844628922,2.285596649004745
IDFM:490893,Square Sainte-Odile,Paris,Tramway,48.887552645935415,2.296378369884052
IDFM:462445,Honoré De Balzac,Paris,Tramway,48.89626214519957,2.3188481036182034
IDFM:412988,Porte de la Chapelle,Paris,Tramway,48.89834248111346,2.358459478922367
IDFM:24401,Canal Saint-Denis,Paris,Tramway,48.89867420358864,2.3804708399279226
IDFM:28865,Guynemer,Saint-Denis,Tramway,48.94819374051071,2.3573939918117484
IDFM:28864,Guynemer,Saint-Denis,Tramway,48.948194399075575,2.357516863437206
IDFM:28874,Les Cholettes,Sarcelles,Tramway,48.977453138205156,2.372182282944555
IDFM:28872,Les Flanades,Sarcelles,Tramway,48.97663544849064,2.3774788710389014
IDFM:479384,Garges - Sarcelles,Sarcelles,Tramway,48.97713460937024,2.3906283124533076
