snapshot_ts,system_id,n_seen,n_kept,n_reserved,status,note
2026-07-06T00:31:03,serris,69,2,0,ok,
2026-07-06T00:31:03,torcy,224,145,0,ok,
2026-07-06T00:45:32,paris,1000,1000,0,ok,
2026-07-06T00:45:32,meaux,16,16,0,ok,
2026-07-06T00:45:32,chessy,88,74,0,ok,
2026-07-06T00:45:32,serris,69,2,0,ok,
2026-07-06T00:45:32,torcy,224,145,0,ok,
2026-07-06T01:01:06,paris,1000,1000,0,ok,
2026-07-06T01:01:06,meaux,16,16,0,ok,
2026-07-06T01:01:06,chessy,88,74,0,ok,
2026-07-06T01:01:06,serris,69,2,0,ok,
2026-07-06T01:01:06,torcy,224,145,0,ok,
2026-07-06T01:15:33,paris,1000,1000,0,ok,
2026-07-06T01:15:33,meaux,16,16,0,ok,
2026-07-06T01:15:33,chessy,88,74,0,ok,
2026-07-06T01:15:33,serris,69,2,0,ok,
2026-07-06T01:15:33,torcy,224,145,0,ok,
2026-07-06T01:31:01,paris,1000,1000,0,ok,
2026-07-06T01:31:01,meaux,16,16,0,ok,
2026-07-06T01:31:01,chessy,88,74,0,ok,
2026-07-06T01:31:01,serris,69,2,0,ok,
2026-07-06T01:31:01,torcy,224,145,0,ok,
2026-07-06T01:45:30,paris,1000,1000,0,ok,
2026-07-06T01:45:30,meaux,16,16,0,ok,
2026-07-06T01:45:30,chessy,88,74,0,ok,
2026-07-06T01:45:30,serris,69,2,0,ok,
2026-07-06T01:45:30,torcy,224,145,0,ok,
2026-07-06T02:01:07,paris,1000,1000,0,ok,
2026-07-06T02:01:07,meaux,16,16,0,ok,
2026-07-06T02:01:07,chessy,88,74,0,ok,
2026-07-06T02:01:07,serris,69,2,0,ok,
2026-07-06T02:01:07,torcy,224,145,0,ok,
2026-07-06T02:15:32,paris,1000,1000,0,ok,
2026-07-06T02:15:32,meaux,16,16,0,ok,
2026-07-06T02:15:32,chessy,88,74,0,ok,
2026-07-06T02:15:32,serris,69,2,0,ok,
2026-07-06T02:15:32,torcy,224,145,0,ok,
2026-07-06T02:31:01,paris,1000,1000,0,ok,
2026-07-06T02:31:01,meaux,16,16,0,ok,
2026-07-06T02:31:01,chessy,88,74,0,ok,
2026-07-06T02:31:01,serris,69,2,0,ok,
2026-07-06T02:31:01,torcy,224,145,0,ok,
2026-07-06T02:45:33,paris,1000,1000,0,ok,
2026-07-06T02:45:33,meaux,16,16,0,ok,
2026-07-06T02:45:33,chessy,88,74,0,ok,
2026-07-06T02:45:33,serris,69,2,0,ok,
2026-07-06T02:45:33,torcy,224,145,0,ok,
2026-07-06T03:01:10,paris,1000,1000,0,ok,
2026-07-06T03:01:10,meaux,16,16,0,ok,
2026-07-06T03:01:10,chessy,88,74,0,ok,
2026-07-06T03:01:10,serris,69,2,0,ok,
2026-07-06T03:01:10,torcy,224,145,0,ok,
2026-07-06T03:15:35,paris,1000,1000,0,ok,
2026-07-06T03:15:35,meaux,16,16,0,ok,
2026-07-06T03:15:35,chessy,88,74,0,ok,
2026-07-06T03:15:35,serris,69,2,0,ok,
2026-07-06T03:15:35,torcy,224,145,0,ok,
2026-07-06T03:31:03,paris,1000,1000,0,ok,
2026-07-06T03:31:03,meaux,16,16,0,ok,
2026-07-06T03:31:03,chessy,88,74,0,ok,
2026-07-06T03:31:03,serris,69,2,0,ok,
2026-07-06T03:31:03,torcy,224,145,0,ok,
2026-07-06T03:45:33,paris,1000,1000,0,ok,
2026-07-06T03:45:33,meaux,16,16,0,ok,
2026-07-06T03:45:33,chessy,88,74,0,ok,
2026-07-06T03:45:33,serris,69,2,0,ok,
2026-07-06T03:45:33,torcy,224,145,0,ok,
2026-07-06T04:01:15,paris,1000,1000,0,ok,
2026-07-06T04:01:15,meaux,16,16,0,ok,
2026-07-06T04:01:15,chessy,88,74,0,ok,
2026-07-06T04:01:15,serris,69,2,0,ok,
2026-07-06T04:01:15,torcy,224,145,0,ok,
2026-07-06T04:15:33,paris,1000,1000,0,ok,
2026-07-06T04:15:33,meaux,16,16,0,ok,
2026-07-06T04:15:33,chessy,88,74,0,ok,
2026-07-06T04:15:33,serris,69,2,0,ok,
2026-07-06T04:15:33,torcy,224,145,0,ok,
2026-07-06T04:31:01,paris,1000,1000,0,ok,
2026-07-06T04:31:01,meaux,16,16,0,ok,
2026-07-06T04:31:01,chessy,88,74,0,ok,
2026-07-06T04:31:01,serris,69,2,0,ok,
2026-07-06T04:31:01,torcy,224,145,0,ok,
2026-07-06T04:45:34,paris,1000,1000,0,ok,
2026-07-06T04:45:34,meaux,16,16,0,ok,
2026-07-06T04:45:34,chessy,88,74,0,ok,
2026-07-06T04:45:34,serris,69,2,0,ok,
2026-07-06T04:45:34,torcy,224,145,0,ok,
2026-07-06T04:49:49,paris,1000,1000,0,ok,
2026-07-06T04:49:49,meaux,16,16,0,ok,
2026-07-06T04:49:49,chessy,88,74,0,ok,
2026-07-06T04:49:49,serris,69,2,0,ok,
